id,from_user,to_user,amount,type,status,reference_id,created_at,is_withdrawable,description,accounting_entry_id
326de5f8-79ab-4b9c-9190-eea90813d727,6.0,6.0,1000.0,deposit,pending,,2025-09-01 00:04:48.446974,0,إضافة رصيد للاختبار,
d21b3e9f-93a2-407a-a02d-4204c97f31f7,3.0,1.0,5000.0,transfer,pending,,2025-09-01 00:05:13.543706,0,تحويل رصيد من صديق,
f1806a9b-1b08-43b4-afab-227613f502cb,1.0,4.0,50.0,transfer,pending,,2025-09-01 00:12:13.727823,0,اختبار التحويل,
5f97f333-3735-4b7d-889e-71d2d23914c6,3.0,3.0,300.0,card_purchase,pending,,2025-09-01 00:18:57.502130,0,شراء كرت 300 ريال من شبكة شبكه دريم عدن,
8c2a4b3b-3b38-46a8-bc7c-71aa5bc9d6d0,3.0,1.0,5000.0,transfer,pending,,2025-09-01 00:19:45.908668,0,تحويل رصيد من صديق,
7b073eae-29f4-49b4-9f48-1d6c5aeb37f6,3.0,1.0,5000.0,transfer,pending,,2025-09-01 00:20:17.804413,0,تحويل رصيد من صديق,
54dc5d90-614e-49a7-9eeb-a70ae4d4e6dd,3.0,3.0,300.0,card_purchase,pending,,2025-09-01 00:21:47.513882,0,شراء كرت 300 ريال من شبكة شبكه دريم عدن,
4911add8-1607-4330-b80f-0b806c658fd4,1.0,3.0,500.0,transfer,pending,,2025-09-01 00:22:52.114586,0,تحويل رصيد من صديق,
f7f71642-7701-4efa-a2ad-a9a6adc4defd,3.0,1.0,500.0,transfer,pending,,2025-09-01 00:34:17.591614,0,تحويل رصيد من صديق,
4f2c6976-2e42-4574-8b45-f6d0f7a16f7e,,1.0,100.0,coupon_redeem,pending,,2025-09-01 00:35:57,0,شحن بكوبون A19801741,
c3386dc3-18cd-4947-a622-31b9b33f6ac8,1.0,3.0,500.0,transfer,pending,,2025-09-01 00:45:37.725680,0,تحويل رصيد من صديق,
